titre,annee,realisateur,note_presse,note_spectateurs,url
"Le Bon, la brute et le truand de Sergio Leone",1966,Sergio Leone,4.1,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=19395.html
Il était une fois en Amérique de Sergio Leone,1984,Sergio Leone,4.9,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=1941.html
Interstellar de Christopher Nolan,2014,Christopher Nolan,3.8,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=114782.html
Il était une fois dans l'Ouest de Sergio Leone,1968,Sergio Leone,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2021.html
"The Dark Knight, Le Chevalier Noir de Christopher Nolan",2008,Christopher Nolan,4.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=115362.html
Le Roi Lion de Roger Allers et Rob Minkoff,1994,Roger Allers,3.4,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=10862.html
Vol au-dessus d'un nid de coucou de Milos Forman,1975,Milos Forman,5.0,4.5,https://www.allocine.fr/film/fichefilm_gen_cfilm=2072.html
Tu ne tueras point de Mel Gibson,2016,Mel Gibson,3.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=208104.html
"Alien, le huitième passager de Ridley Scott",1979,Ridley Scott,4.4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=62.html
Une journée particulière de Ettore Scola,1977,Ettore Scola,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=3235.html
Toy Story 3 de Lee Unkrich,2010,Lee Unkrich,4.7,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=126123.html
Danse avec les loups de Kevin Costner et Kevin Reynolds,1990,Kevin Costner,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=6480.html
Sueurs froides de Alfred Hitchcock,1958,Alfred Hitchcock,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=980.html
Barberousse de Akira Kurosawa,1965,Akira Kurosawa,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=134.html
La Vérité de Henri-Georges Clouzot,1960,Henri-Georges Clouzot,4.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=3227.html
Shining de Stanley Kubrick,1980,Stanley Kubrick,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=863.html
La Grande Vadrouille de Gérard Oury,1966,Gérard Oury,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4307.html
Prisoners de Denis Villeneuve,2013,Denis Villeneuve,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=180887.html
Le Conte de la princesse Kaguya de Isao Takahata,2013,Isao Takahata,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=173271.html
Mommy de Xavier Dolan,2014,Xavier Dolan,4.3,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=223002.html
Edward aux mains d'argent de Tim Burton,1990,Tim Burton,4.4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=27624.html
Vivre de Akira Kurosawa,1952,Akira Kurosawa,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=4471.html
Entre le ciel et l'enfer de Akira Kurosawa,1963,Akira Kurosawa,3.9,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=54790.html
Titanic de James Cameron,1997,James Cameron,4.9,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=5818.html
Wall-E de Andrew Stanton,2008,Andrew Stanton,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=123734.html
Napoléon vu par Abel Gance partie 2 de Abel Gance,1927,Abel Gance,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000004406.html
Ip Man de Wilson Yip,2008,Wilson Yip,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=146717.html
La Ruée vers l'or de Charles Chaplin,1925,Charles Chaplin,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2260.html
La Trilogie Marseillaise de Marcel Pagnol : César de Marcel Pagnol,1936,Marcel Pagnol,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=11726.html
Full Metal Jacket de Stanley Kubrick,1987,Stanley Kubrick,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2749.html
Fenêtre sur cour de Alfred Hitchcock,1954,Alfred Hitchcock,3.9,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=983.html
Les Aventuriers de l'Arche perdue de Steven Spielberg,1981,Steven Spielberg,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=121.html
L'Intendant Sansho de Kenji Mizoguchi,1954,Kenji Mizoguchi,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=27606.html
Elephant Man de David Lynch,1980,David Lynch,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=180.html
Barry Lyndon de Stanley Kubrick,1975,Stanley Kubrick,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=135.html
Matrix de Lana Wachowski et Lilly Wachowski,1999,Lana Wachowski,3.4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=19776.html
Le Trou de Jacques Becker,1960,Jacques Becker,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1101.html
Spider-Man : New Generation de Bob Persichetti et Peter Ramsey,2018,Bob Persichetti,4.2,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=233998.html
Shutter Island de Martin Scorsese,2010,Martin Scorsese,3.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=132039.html
Intouchables de Eric Toledano et Olivier Nakache,2011,Eric Toledano,3.7,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=182745.html
Indiana Jones et la Dernière Croisade de Steven Spielberg,1989,Steven Spielberg,4.4,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=5032.html
Le Robot Sauvage de Chris Sanders,2024,Chris Sanders,3.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=268384.html
Il faut sauver le soldat Ryan de Steven Spielberg,1998,Steven Spielberg,3.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=18598.html
Les Sentiers de la gloire de Stanley Kubrick,1957,Stanley Kubrick,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=4499.html
Je verrai toujours vos visages de Jeanne Herry,2023,Jeanne Herry,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=299938.html
Le Pianiste de Roman Polanski,2002,Roman Polanski,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=28359.html
Les Misérables - Les Thénardier de Raymond Bernard,1933,Raymond Bernard,5.0,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=141857.html
Napoléon vu par Abel Gance partie 1 de Abel Gance,1927,Abel Gance,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000004404.html
L’Attaque des titans : La dernière attaque de Yuichiro Hayashi,2024,Yuichiro Hayashi,4.4,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000009662.html
Princesse Mononoké de Hayao Miyazaki,1997,Hayao Miyazaki,4.8,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=73176.html
"Les Enfants Loups, Ame & Yuki de Mamoru Hosoda",2012,Mamoru Hosoda,4.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=206736.html
Harakiri de Masaki Kobayashi,1962,Masaki Kobayashi,4.6,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=103716.html
Lion de Garth Davis,2016,Garth Davis,3.1,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=229070.html
Les Lumières de la ville de Charles Chaplin,1931,Charles Chaplin,4.5,4.4,https://www.allocine.fr/film/fichefilm_gen_cfilm=2256.html
