titre,url,source,date_publi,resume,score_alerte
"""Une énorme puissance de calcul"": sept gigafactories dédiées à l'IA vont sortir de terre en Europe, financées à hauteur de 10 milliards d'euros par l'UE",https://www.bfmtv.com/economie/entreprises/industries/une-enorme-puissance-de-calcul-sept-gigafactories-dediees-a-l-ia-vont-sortir-de-terre-en-europe-financees-a-hauteur-de-10-milliards-d-euros-par-l-ue_AD-202607300361.html,www.bfmtv.com,"Thu, 30 Jul 2026 12:54:46 GMT","L'Union européenne va investir 10 milliards d'euros dans ces projets, et espère drainer au moins 20 milliards d'euros d'investissements privés. Ces gigafactories combineront des processeurs d'IA de pointe, des logiciels et technologies cloud, ainsi qu'une connectivité à haut débit et des centres de ",1
"""Pas comme dans une monarchie"": contesté par Bally Bagayoko, Stéphane Bern défend son élection à la tête d'une association à Saint-Denis",https://www.bfmtv.com/culture/pas-comme-dans-une-monarchie-conteste-par-bally-bagayoko-stephane-bern-defend-son-election-a-la-tete-d-une-association-a-saint-denis_AV-202607300357.html,www.bfmtv.com,"Thu, 30 Jul 2026 12:47:15 GMT","L'animateur Stéphane Bern a été élu à la tête de l'association ""Suivez la Flèche"", chargée de la reconstruction de la flèche et de la tour nord de l'emblématique Basilique de Saint-Denis. Mais le maire LFI conteste le processus de vote.",1
"Un manque à gagner de 61 milliards de dollars: pour lutter contre l'inflation, le gouvernement japonais va réduire de 8 à 1% la taxe sur la consommation de produits alimentaires",https://www.bfmtv.com/economie/consommation/un-manque-a-gagner-de-61-milliards-de-dollars-pour-lutter-contre-l-inflation-le-gouvernement-japonais-va-reduire-de-8-a-1-la-taxe-sur-la-consommation-de-produits-alimentaires_AD-202607300349.html,www.bfmtv.com,"Thu, 30 Jul 2026 12:17:34 GMT",Cette taxe sera maintenue à 1% jusqu'en 2029. Une mesure qui devrait représenter un manque à gagner de 61 milliards de dollars pour le gouvernement.,1
"Incendies: l'Union européenne doit se ""donner les moyens de faire face à ces catastrophes""",https://www.bfmtv.com/international/video-incendies-l-union-europeenne-doit-se-donner-les-moyens-de-faire-face-a-ces-catastrophes_VN-202607300342.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:51:20 GMT","Hadja Lahbib, commissaire européenne à la gestion des crises, s'est rendue en Gironde ce jeudi 30 juillet pour parler de l'aide des pays européens à la France dans la lutte contre les incendies.",1
"Déjà 44 milliards de dollars depuis janvier: les pertes liées aux catastrophes naturelles devraient encore fortement augmenter en 2026 avec un épisode El Niño d'une ""intensité record""",https://www.bfmtv.com/economie/entreprises/assurance-banque/deja-44-milliards-de-dollars-depuis-janvier-les-pertes-liees-aux-catastrophes-naturelles-devraient-encore-fortement-augmenter-en-2026-avec-un-episode-el-nino-d-une-intensite-record_AD-202607300339.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:49:03 GMT","Le second semestre 2026 est déjà marqué par des incendies qui ravagent l'Europe, illustration de l'aggravation durable du risque de feux de forêt sous l'effet du changement climatique.",1
Le cours de l'or a chuté de 5.500 à 4.000 dollars l'once en quelques mois: les investisseurs se détournent du métal précieux par craintes de hausses des taux d'intérêts des banques centrales,https://www.bfmtv.com/economie/patrimoine/placements-epargne/le-cours-de-l-or-a-chute-de-5-500-a-4-000-dollars-l-once-en-quelques-mois-les-investisseurs-se-detournent-du-metal-precieux-par-craintes-de-hausses-des-taux-d-interets-des-banques-centrales_AD-202607300337.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:43:33 GMT","Les investisseurs ont fait preuve d'une ""prudence renforcée par la perspective potentielle de la hausse des taux d'intérêt"" à cause des risques inflationnistes sur l'économie du fait de la guerre au Moyen-Orient, explique le rapport du Conseil mondial de l'or.",1
"Incendies: l'Union européenne a pu ""répondre à toutes les demandes"" de l'ensemble des pays",https://www.bfmtv.com/environnement/video-incendies-l-union-europeenne-a-pu-repondre-a-toutes-les-demandes-de-l-ensemble-des-pays_VN-202607300338.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:42:59 GMT","Hadja Lahbib, commissaire européenne à la gestion des crises, s'est rendue en Gironde ce jeudi 30 juillet pour parler de l'aide des pays européens à la France dans la lutte contre les incendies.",1
"""On a besoin de vous"": l'appel de ce restaurateur aux touristes à venir en Gironde",https://www.bfmtv.com/economie/video-on-a-besoin-de-vous-l-appel-de-ce-restaurateur-aux-touristes-a-venir-en-gironde_VN-202607300332.html,www.bfmtv.com,"Thu, 30 Jul 2026 11:21:52 GMT","Avec les incendies en Gironde, des milliers d'entreprises enregistrent des pertes économiques déjà considérables. L'enjeu économique est considérable. En Gironde, le tourisme représente 7 % du PIB départemental, plus de 40 000 emplois et 3,2 milliards d'euros de retombées économiques directes. Dans ",1
"Après la France, des incendies frappent la Grèce et l'Angleterre",https://www.bfmtv.com/international/video-apres-la-france-des-incendies-frappent-la-grece-et-l-angleterre_VN-202607300328.html,www.bfmtv.com,"Thu, 30 Jul 2026 10:58:12 GMT","Quelque 8.000 personnes ont été évacuées du village d'Agia Galini sur l'île de Crète, mercredi 29 juillet en raison d'un incendie. Les flammes se sont approchées à moins d'un kilomètre de la commune balnéaire, avant de changer de direction.",1
"Incendie en Gironde: cet habitant confie son ""soulagement"" après avoir regagné son domicile de  Martignas sur Jalle",https://www.bfmtv.com/meteo/video-incendie-en-gironde-cet-habitant-confie-son-soulagement-apres-avoir-regagne-son-domicile-de-martignas-sur-jalle_VN-202607300326.html,www.bfmtv.com,"Thu, 30 Jul 2026 10:54:10 GMT","La ""réintégration immédiate autorisée"" pour les habitants de neuf communes et l'A63 va être rouverte au public dans les deux sens à 14h, annonce la préfecture de Gironde. Les communes concernées sont: Mios, Le Barp, Cestas, Saint-Jean d'Illac, Martignas sur Jalle, Saint-Médard en Jalles, Saint-Aubin",1
